food_id,food_name,food_group,energy_kcal,carb_g,protein_g,fat_g,freesugar_g,fibre_g,cholesterol_mg,allergies,region,serving_size_g,food_type,protein_calorie_ratio,nutrient_score,health_score,diversity_score,energy_category,allergy_list,contains_milk,contains_egg,contains_peanut,contains_tree_nut,contains_soy,contains_wheat,contains_fish,contains_shellfish,contains_gluten,contains_sesame,protein_g_normalized,fat_g_normalized,carb_g_normalized,protein_kcal,fat_kcal,carb_kcal,protein_pct,fat_pct,carb_pct
43,goat curry,vegetarian,385.0,11.55,26.95,24.0625,5.775,1.925,81.8125,unknown,pan-india,100,lunch,0.07,0.9625,64.5,1,Medium,[],False,False,False,False,False,False,False,False,False,False,0.5310956117413181,0.6829710144927537,0.13082191780821917,107.8,216.5625,46.2,29.09,58.44,12.47
44,dahi puri,vegetarian,194.9999999,27.29999999,4.874999998,6.824999998,1.949999999,3.899999999,0.0,milk,pan-india,100,dinner,0.025,0.975,25.0,1,Low,['milk'],True,False,False,False,False,False,False,False,False,False,0.08202557392143908,0.1833333332753623,0.3465753423287671,19.499999992,61.424999982,109.19999996,10.26,32.31,57.44
45,pesarattu,vegetarian,272.0,43.52,10.88,8.704,2.176,3.264,0.0,unknown,south india,100,dinner,0.04,1.088,43.0,2,Medium,[],False,False,False,False,False,False,False,False,False,False,0.20418482999220672,0.23779710144927535,0.5687671232876712,43.52,78.33600000000001,174.08,14.71,26.47,58.82
46,lassi,vegetarian,174.0,29.0,5.8,6.96,3.48,0.0,17.4,milk,pan-india,100,dinner,0.03333333333,1.16,8.0,3,Low,['milk'],True,False,False,False,False,False,False,False,False,False,0.10084277826317833,0.1872463768115942,0.3698630136986301,23.2,62.64,116.0,11.49,31.03,57.47
47,bhindi masala,vegetarian,159.0,18.70588235,3.74117647,6.547058823,1.870588235,4.676470588,0.0,unknown,pan-india,100,dinner,0.02352941176,0.9352941176,23.0,3,Low,[],False,False,False,False,False,False,False,False,False,False,0.05896028855093408,0.17527706733333334,0.2288477034246575,14.96470588,58.923529407000004,74.8235294,10.06,39.62,50.31
48,paneer lababdar,vegetarian,357.0,18.36,15.3,25.5,4.08,2.04,40.8,milk,pan-india,100,lunch,0.04285714286,1.02,38.0,3,Medium,['milk'],True,False,False,False,False,False,False,False,False,False,0.2941005521658889,0.7246376811594204,0.22410958904109585,61.2,229.5,73.44,16.81,63.03,20.17
49,chicken vindaloo,non-vegetarian,358.0000001,8.325581398,23.72790699,18.31627908,4.162790699,1.66511628,66.60465119,unknown,pan-india,100,lunch,0.06627906977,0.8186046512,70.5,1,High,[],False,False,False,False,False,False,False,False,False,False,0.4655488199076251,0.5164138863768116,0.08665179997260275,94.91162796,164.84651172000002,33.302325592,32.39,56.25,11.36
50,shahi tukda,vegetarian,364.0,41.6,6.24,20.8,8.32,3.12,26.0,gluten,pan-india,100,dinner,0.01714285714,1.04,5.5,2,Medium,['gluten'],False,False,False,False,False,False,False,False,True,False,0.10979366463340914,0.5884057971014494,0.5424657534246575,24.96,187.20000000000002,166.4,6.59,49.45,43.96
51,lauki kofta,vegetarian,302.0,25.16666667,10.06666667,18.12,4.026666667,5.033333334,40.26666667,milk,pan-india,100,dinner,0.03333333333,1.006666667,24.0,1,Medium,['milk'],True,False,False,False,False,False,False,False,False,False,0.18763925222413527,0.5107246376811595,0.3173515982191781,40.26666668,163.08,100.66666668,13.25,53.64,33.11
52,chana dal,vegetarian,241.0,38.34090909,15.33636364,5.477272728,1.095454546,6.572727273,0.0,unknown,pan-india,100,lunch,0.06363636364,1.095454545,66.5,3,Medium,[],False,False,False,False,False,False,False,False,False,False,0.29484029491508884,0.14426877472463767,0.49782067246575334,61.34545456,49.295454552,153.36363636,23.24,18.67,58.09
53,masala puri,vegetarian,367.0,52.42857143,8.388571429,15.72857143,5.242857143,4.194285714,0.0,gluten,pan-india,100,dinner,0.02285714286,1.048571429,32.5,1,Medium,['gluten'],False,False,False,False,False,False,False,False,True,False,0.15350188899546238,0.4414078675362319,0.6908023483561643,33.554285716,141.55714287,209.71428572,8.72,36.78,54.5
54,aloo methi,vegetarian,183.0,25.41666667,5.083333333,7.116666667,3.05,5.083333333,0.0,unknown,pan-india,100,dinner,0.02777777778,1.016666667,25.5,3,Low,[],False,False,False,False,False,False,False,False,False,False,0.08626368303215778,0.1917874396231884,0.32077625575342467,20.333333332,64.050000003,101.66666668,10.93,34.43,54.64
55,palak paratha,vegetarian,245.0,37.2826087,6.391304348,9.586956522,4.260869565,5.326086957,0.0,gluten,pan-india,100,breakfast,0.02608695652,1.065217391,28.0,3,Medium,['gluten'],False,False,False,False,False,False,False,False,True,False,0.11287163742038608,0.263390044115942,0.48332340684931496,25.565217392,86.28260869799999,149.1304348,9.8,33.06,57.14
56,methi malai murg,vegetarian,373.9999999,13.77894737,11.81052631,25.09736841,5.905263156,2.952631578,34.44736841,milk,pan-india,100,dinner,0.03157894737,0.8776315789,27.5,1,Medium,['milk'],True,False,False,False,False,False,False,False,False,False,0.2231144555952071,0.7129672002898552,0.16135544342465752,47.24210524,225.87631569,55.11578948,14.39,68.82,16.79
57,veg kofta curry,vegetarian,410.0,25.625,10.25,26.1375,7.175,6.15,51.25,milk,pan-india,100,lunch,0.025,0.92375,16.5,1,Medium,['milk'],True,False,False,False,False,False,False,False,False,False,0.1913687881439217,0.7431159420289856,0.32363013698630133,41.0,235.23749999999998,102.5,10.83,62.11,27.06
58,suji halwa,vegetarian,252.0,40.32,5.04,8.064,6.048,7.056,0.0,gluten,pan-india,100,dinner,0.02,1.008,25.0,1,Medium,['gluten'],False,False,False,False,False,False,False,False,True,False,0.0853821563509615,0.2192463768115942,0.524931506849315,20.16,72.576,161.28,7.94,28.57,63.49
59,veg pulao,vegetarian,337.0,61.78333334,10.11,10.11,4.493333334,4.493333334,0.0,unknown,pan-india,100,dinner,0.03,1.123333333,38.0,1,Medium,[],False,False,False,False,False,False,False,False,False,False,0.1885207788443028,0.27855072463768116,0.8189497717808218,40.44,90.99,247.13333336,10.68,24.04,65.28
60,besan ladoo,vegetarian,316.0,47.4,7.373333333,12.64,10.53333333,3.16,21.06666667,gluten,pan-india,100,dinner,0.02333333333,1.053333333,9.0,2,Medium,['gluten'],False,False,False,False,False,False,False,False,True,False,0.13284897800449538,0.3518840579710145,0.6219178082191781,29.493333332,113.76,189.6,8.86,34.18,56.96
61,chilla,vegetarian,147.9999999,19.73333332,7.89333333,3.946666665,2.959999999,2.959999999,0.0,gluten,pan-india,100,dinner,0.05333333333,0.9866666667,33.5,1,Low,['gluten'],False,False,False,False,False,False,False,False,True,False,0.14342729819919392,0.09990338159420291,0.2429223742465753,31.57333332,35.519999985,78.93333328,21.62,24.32,54.05
62,chana tikki,vegetarian,239.9999999,33.59999999,6.719999998,7.679999998,2.879999999,4.799999998,0.0,gluten,pan-india,100,dinner,0.028,0.96,33.5,1,Medium,['gluten'],False,False,False,False,False,False,False,False,True,False,0.11955826790570234,0.2081159419710145,0.4328767121917808,26.879999992,69.11999998200001,134.39999996,11.67,30.0,58.33
63,paneer bhurji,vegetarian,314.0,20.18571429,22.42857143,20.18571429,4.485714286,2.242857143,44.85714286,milk,pan-india,100,lunch,0.07142857143,1.121428571,58.0,2,Medium,['milk'],True,False,False,False,False,False,False,False,False,False,0.4391165359204428,0.5706004142028986,0.24911937383561644,89.71428572,181.67142861,80.74285716,25.48,51.59,22.93
64,tomato rice,vegetarian,362.0,62.05714286,8.274285715,10.34285714,5.171428572,3.102857143,0.0,unknown,pan-india,100,lunch,0.02285714286,1.034285714,30.5,2,Medium,[],False,False,False,False,False,False,False,False,False,False,0.15117698345056532,0.2853002069565217,0.8227005871232876,33.09714286,93.08571426,248.22857144,8.84,24.86,66.3
65,dal fry,vegetarian,205.0,29.28571428,9.761904761,4.88095238,0.9761904761,4.88095238,0.0,unknown,pan-india,100,lunch,0.04761904762,0.9761904762,48.5,2,Medium,[],False,False,False,False,False,False,False,False,False,False,0.18143950400269523,0.12698412695652173,0.37377690794520546,39.047619044,43.92857142,117.14285712,19.51,21.95,58.54
66,pulao,vegetarian,333.0,57.234375,8.325,9.365625,4.1625,3.121875,0.0,unknown,pan-india,100,dinner,0.025,1.040625,32.0,3,Medium,[],False,False,False,False,False,False,False,False,False,False,0.1522086602741619,0.2569746376811594,0.7566352739726027,33.3,84.29062499999999,228.9375,9.61,24.32,66.07
67,khoya mawa,vegetarian,457.0,57.125,9.14,28.5625,11.425,4.57,68.55,milk,pan-india,100,dinner,0.02,1.1425,-5.0,2,Medium,['milk'],True,False,False,False,False,False,False,False,False,False,0.16878814298265762,0.8134057971014493,0.7551369863013698,36.56,257.0625,228.5,7.0,49.23,43.76
68,pakora,vegetarian,307.0,35.81666667,8.186666666,15.35,6.14,4.093333333,0.0,gluten,pan-india,100,snacks,0.02666666667,1.023333333,31.0,1,Medium,['gluten'],False,False,False,False,False,False,False,False,True,False,0.14939455583359562,0.43043478260869567,0.4632420091780821,32.746666664,138.15,143.26666668,10.42,43.97,45.6
69,boondi raita,vegetarian,154.0,17.11111111,4.277777777,5.133333333,1.711111111,2.566666666,0.0,milk,pan-india,100,dinner,0.02777777778,0.8555555556,23.0,2,Low,['milk'],True,False,False,False,False,False,False,False,False,False,0.06987632792610302,0.13429951689855074,0.2070015220547945,17.111111108,46.199999997000006,68.44444444,12.99,35.06,51.95
70,sabudana khichdi,vegetarian,327.0000001,56.05714288,5.605714288,6.540000003,3.737142859,1.868571429,0.0,gluten (if cross-contaminated),pan-india,100,dinner,0.01714285714,0.9342857143,22.0,2,Medium,['gluten (if cross-contaminated)'],False,False,False,False,False,False,False,False,True,False,0.09689043887347062,0.17507246385507247,0.7405088065753425,22.422857152,58.860000027000005,224.22857152,7.34,19.27,73.39
71,vegetable khichdi,vegetarian,280.0,44.8,13.44,8.96,3.36,5.6,0.0,gluten (if cross-contaminated),pan-india,100,dinner,0.048,1.12,53.5,1,Medium,['gluten (if cross-contaminated)'],False,False,False,False,False,False,False,False,True,False,0.256262714328095,0.24521739130434783,0.5863013698630136,53.76,80.64000000000001,179.2,17.14,25.71,57.14
72,laal maas,vegetarian,410.0,10.25,25.625,26.1375,8.2,2.05,102.5,dairy,pan-india,100,dinner,0.0625,0.92375,42.0,2,Medium,['dairy'],False,False,False,False,False,False,False,False,False,False,0.5041412380127822,0.7431159420289856,0.113013698630137,102.5,235.23749999999998,41.0,27.06,62.11,10.83
73,gajar halwa,vegetarian,299.0,37.375,6.407142857,16.01785714,8.542857143,5.339285714,26.69642857,dairy,pan-india,100,dinner,0.02142857143,1.067857143,9.5,2,Medium,['dairy'],False,False,False,False,False,False,False,False,False,False,0.11319383899841537,0.44979296057971013,0.4845890410958904,25.628571428,144.16071426,149.5,8.03,45.15,46.82
74,malai sandwich,vegetarian,256.0,30.72,7.168,12.288,4.096,4.096,30.72,dairy,pan-india,100,dinner,0.028,1.024,15.0,1,Medium,['dairy'],False,False,False,False,False,False,False,False,False,False,0.12867189770516865,0.34168115942028987,0.39342465753424655,28.672,110.592,122.88,10.94,42.19,46.88
75,pineapple raita,vegetarian,158.0,23.17333333,4.213333333,6.32,3.16,5.266666667,0.0,dairy,pan-india,100,dinner,0.02666666667,1.053333333,21.5,2,Low,['dairy'],False,False,False,False,False,False,False,False,False,False,0.06856533952738322,0.16869565217391305,0.2900456620547945,16.853333332,56.88,92.69333332,10.13,34.18,55.7
76,shrikhand,vegetarian,319.0,42.53333333,6.38,15.95,12.76,2.126666667,26.58333333,dairy,pan-india,100,dinner,0.02,1.063333333,-2.5,6,Medium,['dairy'],False,False,False,False,False,False,False,False,False,False,0.11264167393302804,0.4478260869565217,0.5552511415068493,25.52,143.54999999999998,170.13333332,7.52,42.32,50.16
77,chole tikki,vegetarian,263.9999999,37.15555555,9.777777775,7.82222222,2.933333333,3.91111111,0.0,gluten (in tikki),pan-india,100,dinner,0.03703703704,0.9777777778,43.5,1,Medium,['gluten (in tikki)'],False,False,False,False,False,False,False,False,True,False,0.18176240751330225,0.21223832521739128,0.48158295273972607,39.1111111,70.39999997999999,148.6222222,15.15,27.27,57.58
78,masala khichdi,vegetarian,308.0,48.125,8.6625,7.7,3.85,5.775,0.0,gluten (if cross-contaminated),pan-india,100,dinner,0.028125,0.9625,42.0,5,Medium,['gluten (if cross-contaminated)'],False,False,False,False,False,False,False,False,True,False,0.15907439697860032,0.20869565217391303,0.6318493150684931,34.65,69.3,192.5,11.69,23.38,64.94
79,patra,vegetarian,212.0,31.8,5.3,8.48,2.12,4.24,0.0,gluten,pan-india,100,dinner,0.025,1.06,25.0,7,Low,['gluten'],False,False,False,False,False,False,False,False,True,False,0.09067131647882515,0.23130434782608697,0.40821917808219177,21.2,76.32000000000001,127.2,9.43,33.96,56.6
80,idli sambar,vegetarian,258.0,46.44,6.192,6.192,2.064,5.16,0.0,gluten,south india,100,breakfast,0.024,1.032,31.0,2,Medium,['gluten'],False,False,False,False,False,False,False,False,True,False,0.10881720430211123,0.1649855072463768,0.6087671232876711,24.768,55.728,185.76,9.3,20.93,69.77
